Source,Target,Weight,Type
andersen_..1.,andersen_..4.,1,undirected
andersen_..1.,andersen_..6.,6,undirected
andersen_..1.,andersen_..8.,2,undirected
andersen_..1.,andersen_..9.,2,undirected
andersen_..10.,andersen_..2.,2,undirected
andersen_..10.,andersen_..5.,1,undirected
andersen_..10.,andersen_..7.,4,undirected
andersen_..2.,andersen_..10.,2,undirected
andersen_..2.,andersen_..3.,1,undirected
andersen_..2.,andersen_..4.,3,undirected
andersen_..2.,andersen_..5.,4,undirected
andersen_..2.,andersen_..7.,6,undirected
andersen_..2.,brandes_..5.,1,undirected
andersen_..2.,brandes_..6.,1,undirected
andersen_..2.,brandes_..7.,1,undirected
andersen_..3.,andersen_..2.,1,undirected
andersen_..3.,andersen_..4.,3,undirected
andersen_..3.,andersen_..5.,4,undirected
andersen_..4.,andersen_..1.,1,undirected
andersen_..4.,andersen_..2.,3,undirected
andersen_..4.,andersen_..3.,3,undirected
andersen_..4.,andersen_..5.,6,undirected
andersen_..5.,andersen_..10.,1,undirected
andersen_..5.,andersen_..2.,4,undirected
andersen_..5.,andersen_..3.,4,undirected
andersen_..5.,andersen_..4.,6,undirected
andersen_..5.,andersen_..6.,1,undirected
andersen_..5.,andersen_..7.,2,undirected
andersen_..5.,andersen_..8.,1,undirected
andersen_..5.,andersen_..9.,2,undirected
andersen_..6.,andersen_..1.,6,undirected
andersen_..6.,andersen_..5.,1,undirected
andersen_..6.,andersen_..7.,2,undirected
andersen_..7.,andersen_..10.,4,undirected
andersen_..7.,andersen_..2.,6,undirected
andersen_..7.,andersen_..5.,2,undirected
andersen_..7.,andersen_..6.,2,undirected
andersen_..7.,andersen_..9.,1,undirected
andersen_..8.,andersen_..1.,2,undirected
andersen_..8.,andersen_..5.,1,undirected
andersen_..8.,andersen_..9.,6,undirected
andersen_..9.,andersen_..1.,2,undirected
andersen_..9.,andersen_..5.,2,undirected
andersen_..9.,andersen_..7.,1,undirected
andersen_..9.,andersen_..8.,6,undirected
bang_..1.,bang_..10.,2,undirected
bang_..1.,bang_..5.,1,undirected
bang_..1.,bang_..7.,4,undirected
bang_..10.,bang_..1.,2,undirected
bang_..10.,bang_..2.,1,undirected
bang_..10.,bang_..5.,2,undirected
bang_..10.,bang_..6.,5,undirected
bang_..2.,bang_..10.,1,undirected
bang_..2.,bang_..4.,3,undirected
bang_..2.,bang_..5.,1,undirected
bang_..2.,bang_..7.,6,undirected
bang_..3.,bang_..4.,1,undirected
bang_..3.,bang_..5.,3,undirected
bang_..3.,bang_..6.,2,undirected
bang_..4.,bang_..2.,3,undirected
bang_..4.,bang_..3.,1,undirected
bang_..4.,bang_..5.,5,undirected
bang_..4.,bang_..7.,4,undirected
bang_..4.,bang_..8.,2,undirected
bang_..5.,bang_..1.,1,undirected
bang_..5.,bang_..10.,2,undirected
bang_..5.,bang_..2.,1,undirected
bang_..5.,bang_..3.,3,undirected
bang_..5.,bang_..4.,5,undirected
bang_..5.,bang_..6.,6,undirected
bang_..5.,bang_..7.,1,undirected
bang_..5.,bang_..8.,3,undirected
bang_..5.,bang_..9.,1,undirected
bang_..6.,bang_..10.,5,undirected
bang_..6.,bang_..3.,2,undirected
bang_..6.,bang_..5.,6,undirected
bang_..6.,bang_..7.,1,undirected
bang_..7.,bang_..1.,4,undirected
bang_..7.,bang_..2.,6,undirected
bang_..7.,bang_..4.,4,undirected
bang_..7.,bang_..5.,1,undirected
bang_..7.,bang_..6.,1,undirected
bang_..7.,bang_..8.,1,undirected
bang_..8.,bang_..4.,2,undirected
bang_..8.,bang_..5.,3,undirected
bang_..8.,bang_..7.,1,undirected
bang_..9.,bang_..5.,1,undirected
bang_..9.,brandes_..2.,2,undirected
bang_..9.,brandes_..3.,3,undirected
brandes_..1.,brandes_..2.,4,undirected
brandes_..1.,brandes_..3.,5,undirected
brandes_..1.,brandes_..4.,2,undirected
brandes_..10.,brandes_..11.,1,undirected
brandes_..10.,brandes_..12.,3,undirected
brandes_..10.,brandes_..8.,6,undirected
brandes_..10.,brandes_..9.,4,undirected
brandes_..11.,brandes_..10.,1,undirected
brandes_..11.,brandes_..12.,4,undirected
brandes_..11.,brandes_..8.,2,undirected
brandes_..12.,brandes_..10.,3,undirected
brandes_..12.,brandes_..11.,4,undirected
brandes_..12.,brandes_..8.,4,undirected
brandes_..12.,brandes_..9.,1,undirected
brandes_..2.,bang_..9.,2,undirected
brandes_..2.,brandes_..1.,4,undirected
brandes_..2.,brandes_..3.,6,undirected
brandes_..2.,brandes_..4.,3,undirected
brandes_..3.,bang_..9.,3,undirected
brandes_..3.,brandes_..1.,5,undirected
brandes_..3.,brandes_..2.,6,undirected
brandes_..3.,brandes_..4.,4,undirected
brandes_..4.,brandes_..1.,2,undirected
brandes_..4.,brandes_..2.,3,undirected
brandes_..4.,brandes_..3.,4,undirected
brandes_..5.,andersen_..2.,1,undirected
brandes_..5.,brandes_..6.,5,undirected
brandes_..5.,brandes_..7.,4,undirected
brandes_..6.,andersen_..2.,1,undirected
brandes_..6.,brandes_..5.,5,undirected
brandes_..6.,brandes_..7.,6,undirected
brandes_..7.,andersen_..2.,1,undirected
brandes_..7.,brandes_..5.,4,undirected
brandes_..7.,brandes_..6.,6,undirected
brandes_..8.,brandes_..10.,6,undirected
brandes_..8.,brandes_..11.,2,undirected
brandes_..8.,brandes_..12.,4,undirected
brandes_..8.,brandes_..9.,5,undirected
brandes_..9.,brandes_..10.,4,undirected
brandes_..9.,brandes_..12.,1,undirected
brandes_..9.,brandes_..8.,5,undirected
