"Bandamanna"	"Bárðar"	"Bjarnar"	"Brennu-Njáls"	"Droplaugarsona"	"Egla"	"Eiríks"	"Eyrbyggja"	"Finnboga"	"Fljótsdæla"	"Flóamanna"	"Fóstbræðra"	"Gísla Súrssonar L"	"Gísla Súrssonar S"	"Grænlendinga þáttur"	"Grænlendinga"	"Grettis"	"Gull-Þóris"	"Gunnars"	"Gunnlaugs"	"Hænsna-Þóris "	"Hallfreðar M"	"Hallfreðar Ó"	"Harðar og Hólmverja"	"Hávarðar"	"Heiðarvíga"	"Heimskringla"	"Hrafnkels"	"Íslendinga þættir"	"Jökuls þ"	"Kjalnesinga"	"Kormáks"	"Króka-Refs"	"Landnámabók"	"Laxdæla"	"Ljósvetninga A"	"Ljósvetninga C"	"Ölkofra"	"Reykdæla"	"Sturlunga"	"Svarfdæla"	"Þórðar hreðu"	"Þorsteins hvíta"	"Þorsteins S"	"Valla-Ljóts"	"Vatnsdæla "	"Víga-Glúms "	"Víglundar"	"Vopnfirðinga"
"Bandamanna"	0	1.15546675552622	1.03101073158071	0.984832464634442	1.29847431726575	1.16395287037627	1.23421724354815	1.13698778347138	1.00522418017361	0.944313526005496	1.04034767873373	0.984879325470662	0.89807633054389	0.90878544758325	1.23055550843233	1.35685150874871	1.01838162800931	1.3701642926373	1.34573367186308	1.19802373862954	0.940322920075009	1.1237057227285	1.12944892981547	1.03531137720196	1.00867419350696	0.909085300083277	1.31007458952142	1.02222250691404	0.904187223079167	1.32102998783538	1.17462759386211	1.16141217109834	1.00306388362987	1.62141735324264	0.978594629616462	1.08806301271017	0.888665747036333	1.22041892611408	1.08613659378405	1.25031596106214	1.03101390144633	1.11583753526298	1.35693381022136	1.11695693228825	1.0404072245418	0.928303726052093	0.904505031706935	1.2007833182045	1.04508741062727
"Bárðar"	1.15546675552622	0	0.887908938004069	0.916621780707006	0.866428907616814	0.82950892249595	0.908859514461571	0.794293690731476	0.862654761200499	0.886539371422203	0.820786015960495	0.855843398157386	0.871629106667269	0.882534783639986	1.2132108106163	1.02065797312582	0.740961944650699	0.941613350243929	0.968506819470109	0.930203395070403	1.14785820164828	0.98950864673341	0.914917791711007	0.789539428379976	0.948423402856464	1.02763988814282	0.940768321151372	1.08462304017921	0.789577020358276	1.10371979648268	0.921138662836806	0.945967642158127	0.925131652087473	1.17248139327469	0.809735291157069	1.07239024212665	0.965223464473235	1.35062555459873	1.05218484250482	0.870095504955003	0.896859751033416	0.921938007875229	1.08392054344814	1.0695829000056	1.14755816256018	0.84834688461815	0.965172703237802	0.904741032311216	0.933608554355026
"Bjarnar"	1.03101073158071	0.887908938004069	0	0.846698384063759	1.00879183474072	0.82269987872821	0.968508286638946	0.807568792842364	0.795817245597132	0.849867440242717	0.766682501918822	0.807949685893167	0.776371276564084	0.830691725809161	1.09395741614783	1.12806845574923	0.738918477597316	1.04407700889883	1.09838329501049	0.935065960764545	1.03864573714155	0.875878825437909	0.866208567168612	0.804152566739045	0.907766603225413	0.886084446064639	0.977584609541379	0.97438491345736	0.709300133688587	1.23520562359816	0.955757192578334	0.880072351158721	0.96249079093259	1.38380511356528	0.708810231849646	0.984264269030559	0.838780812214854	1.25650923201392	0.796748927541263	0.857484036222736	0.854165378557649	0.866234513932991	1.14274149545674	1.03250429874645	1.01168143233397	0.723664526786774	0.744198061529533	0.970734182643225	0.853312846393
"Brennu-Njáls"	0.984832464634442	0.916621780707006	0.846698384063759	0	1.01311015005789	0.849449361994334	1.02005925109787	0.800519504671952	0.774177979939054	0.792417208613836	0.827011367883556	0.780271342370405	0.785433686069845	0.841168234790317	1.09337720387989	1.12038511054104	0.67214730571465	1.02210556399938	1.04118404273442	0.921959926315552	0.939408269458002	0.851445731556486	0.790590118652116	0.772225112863984	0.803776971235415	0.895131790683314	0.965563633808277	0.915466966778178	0.656056267234817	1.15461196204838	0.908186608189284	0.957128953855447	0.9261282739602	1.37984143449372	0.766631706917722	0.877636814311447	0.668023997722391	1.14084975546971	0.963451394666481	0.843613329855376	0.779244511663771	0.827591850591065	1.14430710076157	0.999255349457524	0.932831077256055	0.688072625803331	0.758804723370206	0.914966786576252	0.867375869954332
"Droplaugarsona"	1.29847431726575	0.866428907616814	1.00879183474072	1.01311015005789	0	0.938812897237228	1.02069180122488	0.890828354964957	1.05830029624673	1.02403032936096	0.926735979864545	0.974292473856483	0.967320040532735	0.983068948036861	1.27565175940231	1.11997417560451	0.929224488198468	0.967061747003433	1.03886287365836	0.986002620142302	1.28364400704686	1.04445517521662	1.0460807984408	0.872697895478458	1.06436490277892	1.16793167746656	1.10542004298648	1.20351985288809	1.01342556446744	1.25028265170979	1.04702392597789	0.929463321859161	1.1281702793302	1.182265309615	0.980518518164041	1.10388987482523	1.07281782918248	1.34163574174774	1.06504722196174	0.925528361446998	0.988696385060726	1.03209600272684	1.18007842563172	1.25000463319642	1.22323080813785	0.979031191619529	1.01325457607228	1.0853547604647	0.902349689300425
"Egla"	1.16395287037627	0.82950892249595	0.82269987872821	0.849449361994334	0.938812897237228	0	0.912375476544801	0.667902226250302	0.901605418580903	0.922490761348302	0.83125700837341	0.82197156559655	0.865580729770537	0.935913623815306	1.11960409270674	0.971292330026581	0.727065940369638	0.909957421422759	0.989422507341196	0.973504738449272	1.15657103786116	0.955157753408401	0.84113506308923	0.818075871776097	0.963730306131646	0.976103186294203	0.577120973215187	1.0649500506888	0.750730226116958	1.18368350075654	0.871424876318795	0.981724114721301	0.919151808643703	1.28863884081643	0.770762004219369	1.02491331707392	0.897215943676416	1.24548265661451	0.999068546119852	0.773844994395603	0.878426803970254	0.99630806175783	1.1530813485343	1.13288735675464	1.12488335545062	0.83517240042527	0.941567667156702	0.993877446012238	0.932522071938343
"Eiríks"	1.23421724354815	0.908859514461571	0.968508286638946	1.02005925109787	1.02069180122488	0.912375476544801	0	0.872417798592947	1.01887889925817	0.995358177564313	0.917407658009501	0.902127549041642	1.00032117571297	1.01694967610669	1.1834157608401	1.04717283036211	0.831897352841888	0.98201715580233	1.16047126882879	1.04323892000516	1.20815174157427	1.07821880424127	1.02761961701998	0.880510084897819	1.04728482455765	1.0224673659251	1.01253141667934	1.16096231920442	0.925298699210375	1.28811196784544	1.09007830436371	1.01452250432299	1.0111923894752	1.27632298427086	0.895400286311919	1.10768392570374	1.00904720860567	1.38108510386447	1.10389830595685	0.886983820873662	0.995751159487891	1.11093268085811	1.13916829141433	1.1449532916484	1.22372943038158	0.94047256347155	1.03693192358247	1.06836537846484	1.01125202660213
"Eyrbyggja"	1.13698778347138	0.794293690731476	0.807568792842364	0.800519504671952	0.890828354964957	0.667902226250302	0.872417798592947	0	0.836378031890457	0.850070434467222	0.766652632218358	0.793790307802024	0.83027860671972	0.903682630161053	1.11663954682407	0.994476848607036	0.63284543290253	0.778400868239632	1.01656562806124	0.938051876714119	1.11152844842972	0.968314015479419	0.852907043306587	0.732072387234824	0.859976490919853	0.956408444979446	0.796854117479325	0.985909587223058	0.726357763289513	1.20044923697871	0.894793732007409	0.914027406943439	0.933699011599263	1.22056529918997	0.71954377460679	1.02026210958107	0.861460489728004	1.22453741979784	0.947721618974273	0.639038372640851	0.843066090536421	0.925512656205676	1.09430903973518	1.06338775806251	1.0769545717886	0.742419115197449	0.855485516587995	0.961680549176461	0.818038636033453
"Finnboga"	1.00522418017361	0.862654761200499	0.795817245597132	0.774177979939054	1.05830029624673	0.901605418580903	1.01887889925817	0.836378031890457	0	0.774465734101438	0.757671665961671	0.803344021204706	0.783001047080026	0.819686780904585	1.12649607570668	1.13666936289127	0.689521504442142	1.04990208220398	0.980378247970014	0.918778432640918	0.983504342335663	0.940895499146063	0.854238552439274	0.759617000658994	0.706176463266169	0.927921714022559	1.00472412826385	0.94858267159661	0.644296879737436	1.1614410960335	0.907346384104304	0.888866611903666	0.867106398358909	1.48066231822382	0.691763468837563	0.97695940297881	0.813390323975327	1.23931879678431	0.943265740107429	0.929774910057119	0.830319632471532	0.82130565878189	1.13077290700687	1.03315041481419	1.0339610911269	0.694306849652079	0.816304527879921	0.885496116430322	0.86590468809533
"Fljótsdæla"	0.944313526005496	0.886539371422203	0.849867440242717	0.792417208613836	1.02403032936096	0.922490761348302	0.995358177564313	0.850070434467222	0.774465734101438	0	0.821451433979676	0.708599871025635	0.659467536198071	0.675468639695712	1.17718094085924	1.12159857300515	0.734364588545853	1.08705676858146	1.05138359170474	1.00965148683747	0.869960355021344	0.962455861760397	0.902517180760207	0.792412782171258	0.749237614023605	0.847143807847009	1.06218332910217	0.73915493503385	0.672405237516869	1.13147542176618	0.940748991227588	0.940380508135746	0.828144427427886	1.42561710486875	0.72183313991697	0.944380363375466	0.785827251459034	1.24564052104541	0.985769718611795	1.00143574869119	0.749236411654486	0.907740589506267	1.20508799164904	1.0210003906884	0.976270365468854	0.746935052145975	0.806493642652351	0.984222047961731	0.842911688840102
"Flóamanna"	1.04034767873373	0.820786015960495	0.766682501918822	0.827011367883556	0.926735979864545	0.83125700837341	0.917407658009501	0.766652632218358	0.757671665961671	0.821451433979676	0	0.813476451904346	0.739299652944254	0.764807753604318	1.05994435830516	1.04474096391658	0.723978247060295	0.999580144004705	0.991278189867478	0.869300345955882	1.00040467116205	0.845067805461814	0.780423278032469	0.717986663648616	0.878594394277138	0.887246992068273	0.985833143722106	0.995464969558068	0.670252728444456	1.16707026802476	0.880888033059138	0.80336039009681	0.93540811779649	1.30445231995857	0.737714125911381	0.92054889353566	0.836463566575791	1.249771943805	0.87411738732772	0.849585275915402	0.80971323859331	0.870248454152422	1.04581471620284	1.00912306230379	0.966374273633715	0.692544123500745	0.794510756081367	0.918675481827156	0.809658275682077
"Fóstbræðra"	0.984879325470662	0.855843398157386	0.807949685893167	0.780271342370405	0.974292473856483	0.82197156559655	0.902127549041642	0.793790307802024	0.803344021204706	0.708599871025635	0.813476451904346	0	0.727031066397869	0.740976522450067	1.11580646461142	1.05731666932818	0.686437695187131	1.02655064809168	1.03892100719772	0.947128306759884	0.948390200103018	0.882659970069224	0.824483273347353	0.810244674877493	0.772202788549036	0.821843904934771	0.974596521252052	0.939108023305392	0.63196358822403	1.14135232095385	0.902725646191255	0.906519977515589	0.794495259648836	1.35935330862369	0.697385036878918	0.895778435220158	0.739488740107213	1.25401094313369	0.97794203947981	0.909661244648497	0.763926070251746	0.870607699937462	1.1269759011791	1.04127289996952	1.00634013365781	0.736824275423229	0.794074911725963	0.977270442600049	0.83381584162004
