"Bandamanna"	"Bárðar"	"Bjarnar"	"Brennu-Njáls"	"Droplaugarsona"	"Egla"	"Eiríks"	"Eyrbyggja"	"Finnboga"	"Fljótsdæla"	"Flóamanna"	"Fóstbræðra"	"Gísla Súrssonar L"	"Gísla Súrssonar S"	"Grænlendinga þáttur"	"Grænlendinga"	"Grettis"	"Gull-Þóris"	"Gunnars"	"Gunnlaugs"	"Hænsna-Þóris "	"Hallfreðar M"	"Hallfreðar Ó"	"Harðar og Hólmverja"	"Hávarðar"	"Heiðarvíga"	"Heimskringla"	"Hrafnkels"	"Íslendinga þættir"	"Jökuls þ"	"Kjalnesinga"	"Kormáks"	"Króka-Refs"	"Landnámabók"	"Laxdæla"	"Ljósvetninga A"	"Ljósvetninga C"	"Ölkofra"	"Reykdæla"	"Sturlunga"	"Svarfdæla"	"Þórðar hreðu"	"Þorsteins hvíta"	"Þorsteins S"	"Valla-Ljóts"	"Vatnsdæla "	"Víga-Glúms "	"Víglundar"	"Vopnfirðinga"
"Bandamanna"	0	0.997427322961229	0.907886908311169	0.925565880924466	1.14541689266405	1.06071446968576	0.991321559876588	1.06728181640754	1.0101241425988	0.916668185993787	0.91562277287144	0.981228087344372	0.940360691011534	0.775298709997095	1.02875080644599	1.19805627466211	0.957072655132297	1.16905858875114	1.16538582757376	0.959067990954858	0.947103433864381	0.957564558442554	1.06678536420146	0.967989224137563	1.00960250817148	0.973277564594075	1.0651841831329	0.905559320570295	0.744489300942951	0.927124715807449	1.10424877047468	1.0125809344998	1.02417177291707	1.14381693313249	0.984650648316551	1.00724692168863	0.767644774269936	1.17911280745478	1.42291347428929	1.04572547361462	0.884360711168789	1.03239903627073	1.04932643512642	0.943396750184708	0.840806975870023	0.883437151678165	0.841545067473196	1.1148412611649	1.0197866191984
"Bárðar"	0.997427322961229	0	0.921205050210856	0.905708765782568	1.22723788378925	0.89727342938144	0.977448357714481	0.796814554594385	0.888560731456199	0.793758769738632	1.01918669449537	0.965946349123701	0.888112872481844	0.909637961090372	1.25574612625893	1.13788653596404	0.759138544242568	0.959580339208016	1.11433909238558	1.0086817557981	0.966965347510942	0.88783661120101	0.873003956649971	0.781777513062319	1.01133006359733	0.967783322463733	0.828325751104171	0.923865198860522	0.72028507780704	1.04759130127603	0.87689485297468	1.05163643115118	0.837819135919218	0.994904098583005	0.877319679287229	1.26265704008434	0.89006253050912	1.34103418028526	1.35007637536437	0.816525262517779	0.895478491418469	0.938040185585504	1.15205928022075	0.987073426177873	1.02782589819525	0.82116866049778	0.933831065696076	0.816870109160051	1.05606393506836
"Bjarnar"	0.907886908311169	0.921205050210856	0	0.794158087346649	1.21270953763122	0.798513127443257	0.959194704196873	0.786583223957789	0.950318469084426	0.915867712556876	0.743173801192543	0.788258672434072	0.858299106798166	0.704317153930645	1.11284237727084	1.13186765591846	0.726771905616872	1.06214619738074	1.12068491569426	0.996356342222177	0.990406471912427	0.857524331442519	0.905769198785359	0.766670615264425	1.08165834507301	0.899448358861952	0.778612339867174	0.88521543535936	0.634508097572906	1.13559924317071	0.935500758968886	0.936626607475784	1.01197031135088	1.09926579588065	0.735994559164556	1.10401258340912	0.710452793390544	1.25075346860689	1.16655399984272	0.734195189104622	0.866722403666015	0.909515731509448	1.14633891664049	1.01967687679052	0.983503564273575	0.711565881952259	0.821013970402042	1.04757214021709	1.01355864357418
"Brennu-Njáls"	0.925565880924466	0.905708765782568	0.794158087346649	0	1.08030003406198	0.781705736414037	0.989563054296694	0.701555447410681	0.718754845021905	0.746317062380796	0.848217809925199	0.752188526595893	0.760521177730079	0.71961490849439	1.14706701454099	1.12555703534433	0.622165305785043	0.948850840002333	0.93988453441389	0.96272614451134	0.948796352666796	0.822475842621961	0.774762029503708	0.725783408683076	0.938683607801177	0.859711266687578	0.748276671729639	0.883791074147749	0.560892929163861	1.10359695347643	0.878249125507463	0.819638541868244	0.846991695718503	0.982376655857879	0.697502190247591	1.02471429875141	0.6586677599506	1.27506773486519	1.19260541081057	0.621355140049222	0.811476953354356	0.750730901633409	1.21979321350687	1.05038671263744	0.884948208883377	0.680876410798909	0.748687120245736	0.948142187388156	1.05262134383547
"Droplaugarsona"	1.14541689266405	1.22723788378925	1.21270953763122	1.08030003406198	0	1.26307753712149	1.17573666037459	1.1971164873736	1.12216081625367	1.14141304007929	1.09001793936889	1.17949213120573	1.18774535798841	1.09882944554755	1.20741148676797	1.15029701912734	1.15753976077259	1.13550844921103	1.2137785759349	1.21489880731614	1.19848797203318	1.04783479906422	1.26019681731987	1.14690626235828	1.16686652073121	1.1384034872608	1.24222990281111	1.17294910567645	1.06851984183055	1.24780435398938	1.32531740515531	1.0101798603858	1.20747602721918	1.18276862531897	1.12312977114971	1.33348471150229	1.0632011113951	1.44911705283879	1.43381857376126	1.11984206627526	1.17802684604949	1.15005911427878	1.27179841852006	1.14156586569828	1.07971154538594	1.0738127011667	1.16623717159865	1.24147895432019	1.29536832941199
"Egla"	1.06071446968576	0.89727342938144	0.798513127443257	0.781705736414037	1.26307753712149	0	1.04592974962918	0.673767469090803	0.953344983992998	0.820460540739667	0.92751923890823	0.825641759346672	0.86618795337248	0.916721320952086	1.3002906044368	1.18513661550491	0.669190349033258	0.95061336540724	1.05043592594095	1.14948713263484	1.07935680884059	0.959143752376323	0.872291596703955	0.868010918972046	1.0376672151185	1.05578942690653	0.496957460277949	1.02658793610856	0.622871223514019	1.1969028103812	1.00610286139224	1.04947558441777	1.01688760636768	1.06830800756866	0.779664095231761	1.30927331973503	0.8310113339035	1.36105445443913	1.19032933797517	0.593207826695092	0.923969913139823	1.06036295254581	1.27248834568583	1.07786667816009	1.13600331489535	0.854956506297596	0.774397549946615	0.961447816677277	1.11105238581935
"Eiríks"	0.991321559876588	0.977448357714481	0.959194704196873	0.989563054296694	1.17573666037459	1.04592974962918	0	0.977018744801914	1.10190792490034	0.99170234892623	0.936310142178846	0.993893279998296	1.03627904571943	0.969218212589894	1.10067394143407	1.07107597316746	0.957850739516329	1.11638231189362	1.186252406617	0.97310013550828	1.02044530911626	0.954153741385606	1.12218201741166	0.932534312451013	1.14875324791098	1.02651708862377	1.00160731261325	1.00116106840928	0.91397475174857	1.00344835003009	1.00764074682547	0.859387676576354	1.0824797607496	0.987059117856032	0.929647378412007	1.20600234816354	0.947125037129739	1.26793904282454	1.33373520653336	0.899124031377366	0.988736924938747	1.01915493319558	1.28159653630051	1.06093556028012	1.0377440998246	0.950853746872548	1.03213284393326	1.05092644196862	1.11212996819374
"Eyrbyggja"	1.06728181640754	0.796814554594385	0.786583223957789	0.701555447410681	1.1971164873736	0.673767469090803	0.977018744801914	0	0.812407544691605	0.862976677370923	0.886970621543558	0.817219560765079	0.850353558784933	0.856935434326662	1.2925845939908	1.17546162759003	0.571427051948654	0.83587925400048	1.02753776592982	1.04366596805127	0.96861162814869	0.853323910204516	0.851516564833187	0.758587581111049	0.961898036118741	0.924251684193987	0.70932051875748	0.997505453453567	0.627626902631902	1.13711890406239	0.84384488153863	0.896188354492635	0.847825241056362	0.98446967856528	0.709772205114448	1.23392607079571	0.809773922966983	1.39201526401728	1.23164837148368	0.534672737770904	0.878626887930038	0.873598581991534	1.28082083220032	1.09650628093859	1.00499709062012	0.828303685012544	0.761050196956976	0.877556401939274	1.0899299311713
"Finnboga"	1.0101241425988	0.888560731456199	0.950318469084426	0.718754845021905	1.12216081625367	0.953344983992998	1.10190792490034	0.812407544691605	0	0.782885802650278	0.893060195186623	0.85095751551293	0.948434181285811	0.816140744913997	1.29148100529467	1.15683720880461	0.779619797465351	0.987747877021447	0.989473650609953	1.05010473506607	0.980519392203637	0.878152582179616	0.944425787241243	0.756523570801799	0.798196767474539	1.02629803840625	0.907038293371321	0.931695728378438	0.696672314426093	1.21734381889131	0.973357567983348	0.954578201423266	0.907833181015324	1.05770396437742	0.788087268525587	1.22104864780134	0.852161264846275	1.35233290153815	1.12362324550913	0.800796003463455	0.929936982846667	0.87434158882957	1.27357733630106	1.10584412378395	1.0653817087825	0.769421704127876	0.80770172033918	0.919001505674514	1.23026868772557
"Fljótsdæla"	0.916668185993787	0.793758769738632	0.915867712556876	0.746317062380796	1.14141304007929	0.820460540739667	0.99170234892623	0.862976677370923	0.782885802650278	0	0.850774110107393	0.766993990801574	0.799022462348755	0.709731630660219	1.22117362369964	1.22348464446984	0.7162313454168	1.08747671855544	1.07205009309671	1.08273591279214	0.85680147011133	0.954848438611058	0.950414791399356	0.729245678253445	0.915187606650742	0.900177125075575	0.876155380808364	0.706858873135858	0.621738992286025	1.14525211401884	0.91923244749169	0.964727271742935	0.877859076846998	1.02586711989168	0.702413362650072	1.2032926300338	0.74781025742515	1.22628938995989	1.23598341686971	0.824414995609935	0.877057220399265	0.897024990013669	1.26722572689883	1.00295645237933	0.96492017567246	0.69434847654059	0.760140264292928	0.945349331672105	1.16311618423343
"Flóamanna"	0.91562277287144	1.01918669449537	0.743173801192543	0.848217809925199	1.09001793936889	0.92751923890823	0.936310142178846	0.886970621543558	0.893060195186623	0.850774110107393	0	0.906264270137825	0.870366837785692	0.787157942413164	1.17163629311939	1.21774084175397	0.827407845398829	1.04213610193213	1.13881975206499	0.992955752272313	0.935582003065321	0.842384676881702	1.03309914884049	0.766828042048813	1.06086423423241	0.856022069543436	0.932095377545273	0.915490894066064	0.723011085278575	1.1027580145256	1.06830159790072	0.894167288754512	1.11331924946018	1.06152655107186	0.802506011883775	1.09232990043354	0.765272879840839	1.38038451238998	1.10495415694747	0.782934807276729	0.854854703066514	0.897683418242222	1.17996551239004	0.91489002299501	0.993746909587267	0.771725187424868	0.831017709656573	1.06715980353404	1.05065456041243
"Fóstbræðra"	0.981228087344372	0.965946349123701	0.788258672434072	0.752188526595893	1.17949213120573	0.825641759346672	0.993893279998296	0.817219560765079	0.85095751551293	0.766993990801574	0.906264270137825	0	0.858992368239108	0.770748353796088	1.27584067565909	1.14124168283558	0.657846872469135	1.05654611573097	1.12120517327084	1.03416817066821	0.995230830475566	0.882321060389597	0.911411970720337	0.784451748657524	0.999190236119137	0.920355715304861	0.81090714648955	0.892336567360269	0.58263267440664	1.1808009891166	0.940222992987749	0.981028843742844	0.97329836292842	1.07587790395161	0.694770036260801	1.158647148966	0.667716184872945	1.33446885466991	1.21035259142094	0.806691691003969	0.882586714799478	0.88587280967179	1.28538003919352	1.07761632327946	0.9674095590283	0.740711031107732	0.929595455095614	1.04022619599951	1.10082034115154
"Gísla Súrssonar L"	0.940360691011534	0.888112872481844	0.858299106798166	0.760521177730079	1.18774535798841	0.86618795337248	1.03627904571943	0.850353558784933	0.948434181285811	0.799022462348755	0.870366837785692	0.858992368239108	0	0.658102655044449	1.20382720686587	1.12613450456013	0.818071640651037	1.06916806740004	1.08610052748126	0.924342859884657	0.978395167739473	0.955175719421647	0.949463660315648	0.876321479647696	1.01822874218004	0.791856765134236	0.82715030367042	1.05044857213676	0.626331862199212	1.05771082741649	0.961693810989563	1.03381415549138	0.907953511424135	1.12378560079316	0.745605664451198	1.11671611835039	0.738883096030785	1.31208152887974	1.14152751489044	0.811125715385446	0.902166516667417	0.957545809112711	1.22428715350716	1.01488731930768	0.881421718520438	0.810930404622295	0.831892528149898	1.02875385633612	1.06238102522263
"Gísla Súrssonar S"	0.775298709997095	0.909637961090372	0.704317153930645	0.71961490849439	1.09882944554755	0.916721320952086	0.969218212589894	0.856935434326662	0.816140744913997	0.709731630660219	0.787157942413164	0.770748353796088	0.658102655044449	0	1.03690699270568	1.11414179955121	0.740633886070897	1.05916220046874	1.04489758800065	0.922737458067651	0.883298480307748	0.821870535913814	0.950753351470406	0.717115464623156	0.914230962118678	0.784220866428639	0.852213436415955	0.877971339107164	0.580857755451983	1.03955141282238	0.949224257790012	0.906026817437067	0.972185549592621	0.979607058951319	0.709065671912549	0.937717977242572	0.592493935912949	1.24791121339275	1.12046781116157	0.79049118519666	0.827451146064541	0.786709278631496	1.069388107939	0.991460050804627	0.873249542315063	0.61440353959803	0.76480850062769	1.02671103640024	1.00622830309336
"Grænlendinga þáttur"	1.02875080644599	1.25574612625893	1.11284237727084	1.14706701454099	1.20741148676797	1.3002906044368	1.10067394143407	1.2925845939908	1.29148100529467	1.22117362369964	1.17163629311939	1.27584067565909	1.20382720686587	1.03690699270568	0	1.29788492003797	1.27222968966251	1.45473372786499	1.2454564790317	1.08419898450611	1.16609485553425	1.04535548841478	1.30344500356598	1.14116095857707	1.31743998944079	1.09569718934125	1.28684780292779	1.2680044299532	1.16203804893476	1.10794181740593	1.25215844728484	1.10036589510124	1.26924757394191	1.21797944994541	1.15062584299081	1.20653824245289	0.966664063651833	1.23126490983417	1.557814024521	1.1620680035359	1.19235453142089	1.20571942452495	1.14318623037331	0.965486598082845	0.990057730749516	1.12171602611544	1.24871649323229	1.1981737052531	1.20464210291456
"Grænlendinga"	1.19805627466211	1.13788653596404	1.13186765591846	1.12555703534433	1.15029701912734	1.18513661550491	1.07107597316746	1.17546162759003	1.15683720880461	1.22348464446984	1.21774084175397	1.14124168283558	1.12613450456013	1.11414179955121	1.29788492003797	0	1.1666802565028	1.19258623560379	1.141269758343	1.17690201989721	1.26552268669793	1.05403279741716	1.23277228387884	1.22669704743029	1.2914157935943	1.16612290449853	1.12761812493221	1.19636785217214	1.0441151991892	1.28822529840112	1.17517570531311	1.00906833049473	1.03401806832533	1.25330513322618	1.09468735332512	1.36483787729637	1.02676947716704	1.51404647034079	1.53099276800886	1.13698947350124	1.12639968189034	1.10977074162029	1.23308162341582	1.21696741170899	1.21353875513888	1.11950626646499	1.27609021641722	1.13179320252155	1.38900379705536
"Grettis"	0.957072655132297	0.759138544242568	0.726771905616872	0.622165305785043	1.15753976077259	0.669190349033258	0.957850739516329	0.571427051948654	0.779619797465351	0.7162313454168	0.827407845398829	0.657846872469135	0.818071640651037	0.740633886070897	1.27222968966251	1.1666802565028	0	0.889631322588831	1.03506835828951	1.04674151921329	0.946740267821051	0.809725740770082	0.773561611230141	0.589113854830031	0.905707228196364	0.883840841038363	0.695923506638699	0.844966519848382	0.52104052617955	1.13423789027902	0.788466659817355	0.901751050328849	0.850670769647729	0.978887540800604	0.613136330979651	1.17096337540035	0.663877426116479	1.25008890420281	1.10836516714864	0.55342124364498	0.866686415149756	0.836690318747884	1.25401380527748	1.04188511092189	0.989206558754817	0.684144154601213	0.733842386950537	0.797244680496325	1.04759666082393
"Gull-Þóris"	1.16905858875114	0.959580339208016	1.06214619738074	0.948850840002333	1.13550844921103	0.95061336540724	1.11638231189362	0.83587925400048	0.987747877021447	1.08747671855544	1.04213610193213	1.05654611573097	1.06916806740004	1.05916220046874	1.45473372786499	1.19258623560379	0.889631322588831	0	1.0415671277968	1.18826724972439	1.15346525659877	0.952675395020472	1.04130694050539	0.980807207439875	1.17406889880473	1.04255905204678	0.947609411239653	1.07260764446093	0.904430043540638	1.09788965398232	1.05937198285177	1.02749730635483	0.957224196787421	1.13719270565529	1.0221817992137	1.36653959132566	0.9808551753564	1.46730774784938	1.32479988890577	0.838053328031887	1.09322510876602	0.963492858802427	1.36057715655484	1.09081666898523	1.06280720194789	1.04005436224719	0.99106269125322	1.0886362761898	1.20313774174856
