"Bandamanna"	"Bárðar"	"Bjarnar"	"Brennu-Njáls"	"Droplaugarsona"	"Egla"	"Eiríks"	"Eyrbyggja"	"Finnboga"	"Fljótsdæla"	"Flóamanna"	"Fóstbræðra"	"Gísla Súrssonar L"	"Gísla Súrssonar S"	"Grænlendinga þáttur"	"Grænlendinga"	"Grettis"	"Gull-Þóris"	"Gunnars"	"Gunnlaugs"	"Hænsna-Þóris "	"Hallfreðar M"	"Hallfreðar Ó"	"Harðar og Hólmverja"	"Hávarðar"	"Heiðarvíga"	"Heimskringla"	"Hrafnkels"	"Jökuls þ"	"Kjalnesinga"	"Kormáks"	"Króka-Refs"	"Landnámabók"	"Laxdæla"	"Ljósvetninga A"	"Ljósvetninga C"	"Ölkofra"	"Reykdæla"	"Sturlunga"	"Svarfdæla"	"Þórðar hreðu"	"Þorsteins hvíta"	"Þorsteins S"	"Valla-Ljóts"	"Vatnsdæla "	"Víga-Glúms "	"Víglundar"	"Vopnfirðinga"
"Bandamanna"	0	1.12894644326408	1.06644100439424	0.995156195820203	1.38842907635913	1.21522699506483	1.40990988915655	1.23072685743294	0.990834620887296	0.936578037120064	1.11354745580383	1.0257051138232	0.955651817223542	0.932854122063032	1.47656805933001	1.38568669869476	1.07906033810131	1.42730117692304	1.43383837611294	1.13415556826595	1.03617167831226	1.17166613421428	1.21799974751981	1.18076648324409	1.08093775864343	0.9497941267837	1.26735106130077	1.00208525536881	1.34744171902725	1.2545058514805	1.14599854362972	1.0244958521336	1.41744469669808	0.974509164212647	1.22625627169092	0.93226977638415	1.36584050147414	1.37151434613164	1.25799293000288	1.04512396094125	1.13142906419039	1.35689634329024	1.14966723703364	1.15949502719209	0.950876507725492	0.988838524643901	1.23987597184754	1.22544772751485
"Bárðar"	1.12894644326408	0	0.981722037526121	0.836468516470865	0.997847520028975	0.868109086794025	0.993224212473443	0.787114598459103	0.888914870267798	0.871998919176767	0.840964771162057	0.894063801300392	0.879508609745922	0.93526921880819	1.35194011820354	1.07461646052608	0.760151431234876	1.00038575797074	1.10279513894723	1.01491797489768	1.13270321443658	1.05411164269513	1.0250281880621	0.838224493993144	0.912955093398141	0.966621007820971	0.90086829301684	0.943293897478153	1.14597319129754	0.954837892452674	0.931108812631371	0.916360540753868	1.11229851124296	0.809939694068748	1.1813202996079	1.03489371682051	1.3965810177878	1.18661920824844	0.820361618979125	0.909370523725247	0.950076676147235	1.21399456561269	1.14879586736333	1.09250689561171	0.908712139264773	0.987709320372098	0.857468295548161	1.04310763580654
"Bjarnar"	1.06644100439424	0.981722037526121	0	0.772274781479096	1.03894358598801	0.889136167036561	1.02124294134686	0.833830365038529	0.829951832930683	0.917347467271305	0.76154965427823	0.832095107013082	0.75755066918029	0.76509443742554	1.24017569356628	1.15136894978866	0.789789112993691	1.00923828840113	1.14118644663157	0.962246605465057	1.04146941320173	0.910327294000921	0.971351891237848	0.774960599258464	0.904336525812147	0.882833709206238	0.885452738178586	0.963896201234351	1.32776462683815	1.05767951639888	0.900336044655518	0.945192835427502	1.18770567886056	0.746180377068716	1.02726993054506	0.808053534445534	1.37632995270738	0.970361054907069	0.772407658861517	0.912913554541068	0.85558484901758	1.16590915383766	1.0099289892514	0.992493418614923	0.728777524005404	0.747122257096853	1.03650099946009	0.859525534725621
"Brennu-Njáls"	0.995156195820203	0.836468516470865	0.772274781479096	0	0.970036833660825	0.844522107777202	1.05039580503891	0.708578131760267	0.763927576536898	0.740301881649501	0.765567104138051	0.744273875916124	0.725766640560011	0.717618551058645	1.22078441627123	1.06631829143358	0.57882875189099	0.973660519481571	0.997258174051104	0.991879675334278	0.93680794596775	0.883688626708332	0.816150853628072	0.727612311125561	0.796411841407583	0.889727828955205	0.907861076621761	0.826410979722697	1.1728363151047	0.848139453178718	0.8577930801043	0.813177382383594	1.19332112348718	0.708630639281725	0.995410833552705	0.695536525022291	1.29146299860428	1.10547477932917	0.729681145258688	0.759881982670806	0.7893586731576	1.1615280204025	1.03845526233887	0.938788836524412	0.668960535433122	0.786952465429353	0.869191374812855	0.960263280967641
"Droplaugarsona"	1.38842907635913	0.997847520028975	1.03894358598801	0.970036833660825	0	1.04521781916125	1.11496694814742	0.932680512591701	1.09150243465841	1.11666184904602	0.996430920429224	1.05691423407259	1.05818250808838	1.07101459060079	1.38243322675263	1.16874162490308	0.946607473695187	0.969206246150615	1.24840018871291	1.10409372113295	1.31685795123874	1.10017598044415	1.17668070387025	0.945333170140956	1.08260496614307	1.20719164908292	1.11287147523897	1.11250979139627	1.36852248094844	1.09327849908673	0.972642129962557	1.11258503592086	1.16389346316167	1.00393453170033	1.23769356748372	1.10315214183419	1.56988387647486	1.26968310548374	0.898170358690605	1.02119845767029	1.08720022628187	1.26176543645936	1.22632852777983	1.18045259653579	1.04416740608814	1.06170841669308	1.13506531177838	1.0695384287695
"Egla"	1.21522699506483	0.868109086794025	0.889136167036561	0.844522107777202	1.04521781916125	0	0.962200483615206	0.644140417622869	0.906715378485786	0.905635090753986	0.872482342865602	0.822324165211011	0.870438821543181	0.975373213590446	1.33961731080961	1.12520748369143	0.732683077183723	0.975594830267711	1.09206104389452	1.09103270845428	1.22432153386712	1.01243205183101	0.944155282974124	0.916795923285184	0.912627178207935	1.00786290942476	0.56501984878392	0.992853749984968	1.33963907992562	0.950013363670141	0.998859127887843	0.909649375771037	1.25068797387807	0.770592536844439	1.21564914669491	1.0012886886613	1.35400856614746	1.1063121328957	0.642979709126467	0.959947096606726	1.04486131118762	1.22129486411124	1.22852660454155	1.15314293362731	0.927983630540337	0.898989603226282	1.00979084796759	1.03213529487597
"Eiríks"	1.40990988915655	0.993224212473443	1.02124294134686	1.05039580503891	1.11496694814742	0.962200483615206	0	0.926263196207225	1.09096303826838	1.08521528263234	0.994729264708603	1.00058924618184	1.03154894077167	1.05809175803073	1.37613869324387	1.20214017402731	0.93682233723247	1.14656736266898	1.29943813820884	1.13033869097801	1.29822816057939	1.15405643598183	1.18375599463165	0.964206847628035	1.14766857363707	1.10116061008387	1.03048949326102	1.18865386536152	1.31137903306193	1.16559942995287	1.07659167871457	1.15084029669067	1.24173723902951	0.969876534885605	1.25698310409205	1.14059592451803	1.51224079075364	1.30823779013682	0.910398480434205	1.10904945567342	1.15736593459829	1.31941117738763	1.24159537618911	1.22679520633477	1.02355034433564	1.1020716815077	1.11316712581929	1.12189760081284
"Eyrbyggja"	1.23072685743294	0.787114598459103	0.833830365038529	0.708578131760267	0.932680512591701	0.644140417622869	0.926263196207225	0	0.858972057137326	0.862394322302611	0.766062592909197	0.806350493770347	0.850960213214289	0.885095321931996	1.31486422011871	1.11080461106224	0.587822603454867	0.856505675343219	1.07072402854592	0.98909209825146	1.13699043936617	0.931609884332229	0.863763788319987	0.754152946187747	0.88947340959235	0.988403252419739	0.747981236074046	0.948948674227806	1.2805081665341	0.939722536573925	0.902592432428028	0.94617762382885	1.1731852537529	0.759751752422682	1.18852525991585	0.943089688114851	1.36537235509523	1.1158310268655	0.586913026470509	0.8863475426465	0.962060000066358	1.18826349071242	1.17002047652676	1.11583655296736	0.829219548707459	0.85261177846257	0.924397479930477	0.927925860683851
"Finnboga"	0.990834620887296	0.888914870267798	0.829951832930683	0.763927576536898	1.09150243465841	0.906715378485786	1.09096303826838	0.858972057137326	0	0.832760471063406	0.779389458528068	0.819444955293904	0.791127238926787	0.842929704428062	1.37459601696632	1.21634304608734	0.695175173058708	1.09070313946629	1.06214076272299	0.953037035581491	0.977037895455847	0.892299666685136	0.881543661383771	0.79460653423559	0.727557046275053	0.925546313584494	0.981025331033484	0.856464795786682	1.2547331637367	0.968828322354788	0.957518516607474	0.864668943505379	1.26502890521275	0.711717252081023	1.13156735881653	0.915662573401813	1.31024014499165	0.992372621310144	0.863100837648758	0.883422200931442	0.819276522679801	1.14330323875533	1.04809205363156	1.06360938380092	0.769074418503944	0.81990022997055	0.964634779658939	0.985296239112944
"Fljótsdæla"	0.936578037120064	0.871998919176767	0.917347467271305	0.740301881649501	1.11666184904602	0.905635090753986	1.08521528263234	0.862394322302611	0.832760471063406	0	0.85665034076549	0.71079436346927	0.714637072906478	0.769716828233575	1.40102233873777	1.15146427099258	0.683636370059638	1.17708921722698	1.15267560651982	1.0824910857475	0.88889279134369	0.980696423396249	0.92758319409177	0.875660252486524	0.874098052781198	0.873459040305051	0.985552530792159	0.753806381963357	1.2560098444663	0.971898042880161	0.963360465011734	0.880591253076734	1.24120100632756	0.670443992095734	1.16210810512926	0.799626060121348	1.3502485017476	1.1979581450694	0.935458381374744	0.821930833951066	0.861222138348979	1.23294366149238	1.04428229403364	1.00835475097475	0.788079858639926	0.83585226774671	0.965083245311546	1.07016563832167
"Flóamanna"	1.11354745580383	0.840964771162057	0.76154965427823	0.765567104138051	0.996430920429224	0.872482342865602	0.994729264708603	0.766062592909197	0.779389458528068	0.85665034076549	0	0.866412637253053	0.780056466683833	0.74740068783045	1.24984409809376	1.13219837974206	0.687618917420503	1.01690794166538	1.07975330530145	0.932031164535128	1.0026370937552	0.838016016881922	0.916959243181763	0.691046302050444	0.933755134036997	0.889821698578571	0.931249423404135	0.965830614106292	1.2120639557847	0.915594259339233	0.854652824032657	0.898833053118482	1.12931425159147	0.70802185245336	1.06553800561163	0.838527758550345	1.43166880996623	1.02080131472649	0.755467918173322	0.887249832873468	0.877668205988828	1.18719106585438	1.04504094025612	0.928862633932711	0.794414655631686	0.808684922591483	0.973700035439602	0.943667413727138
"Fóstbræðra"	1.0257051138232	0.894063801300392	0.832095107013082	0.744273875916124	1.05691423407259	0.822324165211011	1.00058924618184	0.806350493770347	0.819444955293904	0.71079436346927	0.866412637253053	0	0.730558698591122	0.777804694281212	1.35542629348381	1.12681919634274	0.702763243028776	1.1493029455253	1.11419384449833	0.998161833401448	0.936026790248077	0.870276728009231	0.88108126848122	0.804944338914898	0.873230756878407	0.898708161192611	0.860204295389178	0.834700554945785	1.26174856583399	0.980430304074768	0.919863159737469	0.844661589389293	1.16604352530414	0.632538825371729	1.12920227002519	0.784110621639574	1.3224499303249	1.16843029697011	0.857728604826673	0.860062029625275	0.875493502290882	1.19416224959504	1.00846168089342	0.994427813809564	0.744307007575337	0.819493944802066	0.977386671939286	1.00348246238145
"Gísla Súrssonar L"	0.955651817223542	0.879508609745922	0.75755066918029	0.725766640560011	1.05818250808838	0.870438821543181	1.03154894077167	0.850960213214289	0.791127238926787	0.714637072906478	0.780056466683833	0.730558698591122	0	0.575455233150688	1.33602276694807	1.10418858947535	0.737060648584547	1.04123197122239	1.11166082449116	0.98229460825076	0.917525111165188	0.931355063396083	0.945962250409361	0.870686165454664	0.861597426880501	0.771497026430509	0.947870600131562	0.861632107575162	1.14839749913987	0.983121561961761	0.89774618105449	0.853799711576578	1.20182801154321	0.70648220470176	1.06595132920506	0.777815351627433	1.37281195321796	1.01399316491066	0.906694609699958	0.844735432814018	0.852636895986489	1.18603445973116	1.06067541614931	0.951210581042338	0.763477014093929	0.786418177405981	0.973033117751035	0.94957089620826
"Gísla Súrssonar S"	0.932854122063032	0.93526921880819	0.76509443742554	0.717618551058645	1.07101459060079	0.975373213590446	1.05809175803073	0.885095321931996	0.842929704428062	0.769716828233575	0.74740068783045	0.777804694281212	0.575455233150688	0	1.30518643450226	1.09845574575638	0.757117825416683	1.15368141003974	1.16465940692249	1.01429368302966	0.906967935837236	0.957228720952721	0.983763893960963	0.821404164278048	0.886786258109374	0.785832798673388	1.00702769098848	0.932635561704924	1.17134959744885	1.00957676195378	0.868016614712587	0.86877479180667	1.15808290351592	0.715751754953928	1.04239647924407	0.758362910606212	1.3431215350906	1.09535907788356	0.935826807952501	0.868289051431978	0.842042827729049	1.19045198046079	1.0166783410392	0.889393322469184	0.747561230776765	0.777072660831297	0.997019836925205	0.958884803468184
"Grænlendinga þáttur"	1.47656805933001	1.35194011820354	1.24017569356628	1.22078441627123	1.38243322675263	1.33961731080961	1.37613869324387	1.31486422011871	1.37459601696632	1.40102233873777	1.24984409809376	1.35542629348381	1.33602276694807	1.30518643450226	0	1.38659279866119	1.27090464061284	1.52012317217339	1.46077841387261	1.34585678807013	1.4458783740004	1.3003782844386	1.43820223935898	1.25046431762018	1.35827265982263	1.29042285495474	1.37788587224954	1.46402386744527	1.48764868817295	1.44837507407537	1.37239430999991	1.36942022483089	1.55746132578293	1.24913384319603	1.37404403940163	1.23728738356051	1.57750618333958	1.52203482160046	1.25411011628537	1.38431428619247	1.37158538787546	1.50531153183519	1.43562042374986	1.32447788267256	1.20148029479932	1.30550391795834	1.40665149331998	1.35508053040418
"Grænlendinga"	1.38568669869476	1.07461646052608	1.15136894978866	1.06631829143358	1.16874162490308	1.12520748369143	1.20214017402731	1.11080461106224	1.21634304608734	1.15146427099258	1.13219837974206	1.12681919634274	1.10418858947535	1.09845574575638	1.38659279866119	0	1.13625114380205	1.23168205148603	1.29188298074432	1.27418913031151	1.33795838906037	1.21002096534412	1.30789046960759	1.03794295856226	1.1942533599589	1.1804255106527	1.1725061000484	1.23324247901134	1.36897149725823	1.17840730351144	1.15360151714178	1.14517544596081	1.38263290988944	1.05979830264478	1.38016741906779	1.17553408354482	1.54994553417867	1.37454914392784	1.14658901797472	1.09966024609254	1.25093525442131	1.40419421621475	1.36902152502809	1.18355840145476	1.12736110833353	1.2027693559918	1.16978588533111	1.23793855202309
"Grettis"	1.07906033810131	0.760151431234876	0.789789112993691	0.57882875189099	0.946607473695187	0.732683077183723	0.93682233723247	0.587822603454867	0.695175173058708	0.683636370059638	0.687618917420503	0.702763243028776	0.737060648584547	0.757117825416683	1.27090464061284	1.13625114380205	0	0.928495243109337	0.975227853594109	0.962081759412405	1.01502797536293	0.849819091224124	0.724462736467044	0.606545459019062	0.80241360226452	0.929291751245471	0.774350545402135	0.809725900106084	1.20091891924384	0.862526428461719	0.880497697607742	0.809971632806846	1.15335304003725	0.68423516701755	1.06909009901014	0.763409825358359	1.25224025960114	1.00848905137053	0.609771090269148	0.788168689503562	0.781687590252115	1.10150659221882	1.02578005994072	0.945170249805298	0.693264555011425	0.798580536764607	0.817957670592386	0.886080922793092
"Gull-Þóris"	1.42730117692304	1.00038575797074	1.00923828840113	0.973660519481571	0.969206246150615	0.975594830267711	1.14656736266898	0.856505675343219	1.09070313946629	1.17708921722698	1.01690794166538	1.1493029455253	1.04123197122239	1.15368141003974	1.52012317217339	1.23168205148603	0.928495243109337	0	1.15273343680909	1.2447785399273	1.38178004898129	1.16411353852706	1.1417361006004	1.01197457652077	1.1164973210277	1.18932959922408	1.00232654749254	1.22751082754991	1.30930002453589	1.1170894456908	1.00898968599762	1.10962681581667	1.11454083485277	1.08236775235143	1.35761649605522	1.23781267553065	1.49378694990008	1.18414814699759	0.804428513058568	1.13847182447169	1.1484153405544	1.32501385884813	1.27683970328148	1.26951195826465	1.06989744125441	1.08685586964333	1.12518466427113	1.13838196511579
"Gunnars"	1.43383837611294	1.10279513894723	1.14118644663157	0.997258174051104	1.24840018871291	1.09206104389452	1.29943813820884	1.07072402854592	1.06214076272299	1.15267560651982	1.07975330530145	1.11419384449833	1.11166082449116	1.16465940692249	1.46077841387261	1.29188298074432	0.975227853594109	1.15273343680909	0	1.25166946358637	1.34555303292844	1.14983035903799	1.13769971777917	1.04178195909452	1.06593393075373	1.21508347732347	1.16005870503746	1.18459149547702	1.33970621688799	1.089235832695	1.19404164410375	1.15713267927289	1.39469347865136	1.11078411624962	1.33693658167399	1.16282918747822	1.53500619369007	1.29413085350369	1.04834250984157	1.073431097415	1.09893218191127	1.32563954778004	1.3007929491634	1.15845396739223	1.08982178992666	1.15030630180786	1.04515100554712	1.23022309856893
"Gunnlaugs"	1.13415556826595	1.01491797489768	0.962246605465057	0.991879675334278	1.10409372113295	1.09103270845428	1.13033869097801	0.98909209825146	0.953037035581491	1.0824910857475	0.932031164535128	0.998161833401448	0.98229460825076	1.01429368302966	1.34585678807013	1.27418913031151	0.962081759412405	1.2447785399273	1.25166946358637	0	1.17406350383129	0.934820339378238	1.06865062568582	1.07442308067056	1.10028478564645	1.10124338645483	1.10020050674645	1.0428068453899	1.26669335152573	1.07971365464904	1.065063361104	1.09604330897695	1.32186070917112	0.942356690924889	1.22090661135949	1.02510255040664	1.50812081561981	1.32048532007196	1.00707898200978	0.983952064700895	1.05511209022468	1.19719298173816	1.15443946572924	1.16119833414803	1.02021465525336	1.05359663344681	1.19108678515199	1.10281105574682
"Hænsna-Þóris "	1.03617167831226	1.13270321443658	1.04146941320173	0.93680794596775	1.31685795123874	1.22432153386712	1.29822816057939	1.13699043936617	0.977037895455847	0.88889279134369	1.0026370937552	0.936026790248077	0.917525111165188	0.906967935837236	1.4458783740004	1.33795838906037	1.01502797536293	1.38178004898129	1.34555303292844	1.17406350383129	0	1.09566914380396	1.10916208465641	1.01260439209884	1.0458765853972	1.02585354681622	1.26309883446493	0.991220278430103	1.33653863205768	1.10987977394607	1.14893434844832	1.0181498928276	1.42583401446551	0.920718592623434	1.16638267103548	0.900124493907631	1.4298347579386	1.30072105598464	1.21965705069536	1.05031323538442	0.986265377059711	1.35735990515205	1.12360666740796	1.09888794503174	0.899701494134188	0.950792713449828	1.20389098022211	1.15030052766993
"Hallfreðar M"	1.17166613421428	1.05411164269513	0.910327294000921	0.883688626708332	1.10017598044415	1.01243205183101	1.15405643598183	0.931609884332229	0.892299666685136	0.980696423396249	0.838016016881922	0.870276728009231	0.931355063396083	0.957228720952721	1.3003782844386	1.21002096534412	0.849819091224124	1.16411353852706	1.14983035903799	0.934820339378238	1.09566914380396	0	0.799833395294625	0.883908190836481	1.00831661097921	1.06939721365312	1.03971065233689	1.07883549953233	1.26199653003115	1.0410931871337	0.991385653473322	1.03746719569564	1.31473852800821	0.858961063319807	1.14513784633379	0.870187208557445	1.38972118024292	1.20197945804902	0.94545188649356	0.929180184737825	0.99775420501333	1.17400175327638	1.16179890317976	1.0425785115607	0.81632582856991	0.915087997386381	1.06328691751566	1.03548105535369
"Hallfreðar Ó"	1.21799974751981	1.0250281880621	0.971351891237848	0.816150853628072	1.17668070387025	0.944155282974124	1.18375599463165	0.863763788319987	0.881543661383771	0.92758319409177	0.916959243181763	0.88108126848122	0.945962250409361	0.983763893960963	1.43820223935898	1.30789046960759	0.724462736467044	1.1417361006004	1.13769971777917	1.06865062568582	1.10916208465641	0.799833395294625	0	0.846342351015268	1.0032396094513	1.1066922896483	0.954635636417392	1.03979969173221	1.38157618769525	0.996495167131575	1.11101480270097	1.02308803997771	1.30188993969535	0.834307047930331	1.1889565704269	0.943508077412931	1.29331223420354	1.30189521341924	0.864214232630985	0.953748464916571	0.968517006853287	1.23503008794242	1.1794001046214	1.09719254152194	0.869239511445959	0.930892619523827	1.04501883279842	1.10718074000265
