"Bandamanna"	"Bárðar"	"Bjarnar"	"Brennu-Njáls"	"Droplaugarsona"	"Egla"	"Eiríks"	"Eyrbyggja"	"Finnboga"	"Fljótsdæla"	"Flóamanna"	"Fóstbræðra"	"Gísla Súrssonar L"	"Gísla Súrssonar S"	"Grænlendinga þáttur"	"Grænlendinga"	"Grettis"	"Gull-Þóris"	"Gunnars"	"Gunnlaugs"	"Hænsna-Þóris "	"Hallfreðar M"	"Hallfreðar Ó"	"Harðar og Hólmverja"	"Hávarðar"	"Heiðarvíga"	"Heimskringla"	"Hrafnkels"	"Jökuls þ"	"Kjalnesinga"	"Kormáks"	"Króka-Refs"	"Landnámabók"	"Laxdæla"	"Ljósvetninga A"	"Ljósvetninga C"	"Ölkofra"	"Reykdæla"	"Sturlunga"	"Svarfdæla"	"Þórðar hreðu"	"Þorsteins hvíta"	"Þorsteins S"	"Valla-Ljóts"	"Vatnsdæla "	"Víga-Glúms "	"Víglundar"	"Vopnfirðinga"
"Bandamanna"	0	1.13918722722605	1.01761695936186	0.965380254719272	1.2858252933447	1.14985875133429	1.22123857547952	1.1183634992581	0.986141838635933	0.93242860009836	1.02281696712773	0.968414898187493	0.882240856198378	0.891385528504083	1.225454372794	1.3378738890757	1.00647071110196	1.35906344234594	1.33282947943895	1.16898625535819	0.923174506565952	1.10204816570575	1.10401209540303	1.01799070341061	0.988196437179417	0.900509325455195	1.29325916381648	1.01307189065968	1.31094351187469	1.1565384196995	1.14236156881446	0.979473342931695	1.59861817930574	0.976042071892647	1.06876982187976	0.878663300720155	1.19050702042777	1.06500931767655	1.23896712563964	1.01106681334534	1.08971361107657	1.32715139747061	1.10441453628894	1.00614840932066	0.912509299344677	0.883934501036895	1.18299609020905	1.03073566782094
"Bárðar"	1.13918722722605	0	0.883681401778761	0.89803977637023	0.862690738909281	0.823735309749769	0.892038752412455	0.793651540517028	0.865152711701622	0.877813305446897	0.815744160945812	0.847843992310622	0.86369858747124	0.872011214637971	1.21601240351425	1.0087506100865	0.73626553633985	0.940765397096158	0.965335923890016	0.918422095886835	1.13157233647308	0.97676072851123	0.900314612179616	0.787142531758308	0.94170787315144	1.01673672325152	0.935019515423862	1.07598694625532	1.10462034066973	0.909270495384572	0.945732499761492	0.923789858271421	1.16556293981899	0.814015132723488	1.06490336374857	0.962816726712806	1.34150161110248	1.0400697024534	0.870127997872313	0.885176758164319	0.913885753698627	1.06803932044129	1.0694040654299	1.1216532749012	0.850662244815186	0.957655514725687	0.899677283790171	0.934562910134831
"Bjarnar"	1.01761695936186	0.883681401778761	0	0.825874342048344	1.00625732853179	0.820767055292764	0.964356828347532	0.80300264168889	0.793553210018967	0.846469347010175	0.760686983945957	0.802102524071354	0.773515873944141	0.82164866997308	1.09754400830893	1.11819187950871	0.739995490394007	1.04247743138462	1.09945106794552	0.919273082835404	1.02789217748374	0.86616109890649	0.854370293770515	0.800623851347105	0.899019317123255	0.884948487695581	0.9710390142474	0.964230565960302	1.23498535225726	0.941494421283879	0.87447687487597	0.948966358914022	1.37289503322195	0.716122476487506	0.973956766430029	0.83563606503634	1.24173564433968	0.791802162584253	0.861416727835164	0.842121201223957	0.853310470456923	1.12934882526912	1.02458547485565	0.988364035357309	0.717157670740184	0.735146457471798	0.968520028598301	0.852115313039252
"Brennu-Njáls"	0.965380254719272	0.89803977637023	0.825874342048344	0	0.993990696353436	0.833956642512402	0.999496998736462	0.780564848267864	0.765489477110205	0.778814215838959	0.806704396004735	0.762383095292943	0.770792875540491	0.821936498410426	1.08180606679635	1.1023835139141	0.65431610572537	1.00510984591578	1.03591419196402	0.905685562666862	0.930651788315167	0.836866470505026	0.774396510191579	0.751372026152434	0.793722945073368	0.878604108726536	0.947610455932306	0.889953404837303	1.13679830840895	0.89535170506231	0.931882075759312	0.89649041386527	1.35488634054169	0.762044553154946	0.867794390209308	0.660609407731107	1.12661598355551	0.942627222540025	0.831173334610316	0.764007918922633	0.816025100079604	1.12321140079836	0.983390735171543	0.902162184166266	0.672320116632122	0.738151691479619	0.900153629224935	0.854821079614675
"Droplaugarsona"	1.2858252933447	0.862690738909281	1.00625732853179	0.993990696353436	0	0.937611781479963	1.01109487413411	0.895384363740319	1.06207000935641	1.0211776597918	0.926048191424597	0.969200846079856	0.964758293996462	0.976597467864169	1.28037199933602	1.112447924434	0.925352010691167	0.963007287701185	1.04085818465912	0.981276061761056	1.27454035580633	1.04137944962147	1.03534810700515	0.872723749826755	1.0634169537979	1.15966802912648	1.10111213914411	1.19192151437484	1.25073071925308	1.04125461173512	0.931210563348754	1.11827832365819	1.18128805214339	0.987806026163738	1.09944530965972	1.07248455884639	1.34507234943811	1.05925632125108	0.926812421121347	0.980014544588182	1.02797385210284	1.17533557195716	1.24917949317814	1.20602583539323	0.980572969808555	1.00812999864374	1.08585715541701	0.908799557676856
"Egla"	1.14985875133429	0.823735309749769	0.820767055292764	0.833956642512402	0.937611781479963	0	0.904016071592467	0.665506604225998	0.903749196488187	0.913894360667847	0.829679898240401	0.819129999406735	0.860542397177864	0.927845900883428	1.12074140251975	0.965714628419856	0.728402527943731	0.908823752706265	0.991671702901671	0.960529950423846	1.14675038839817	0.943798147916652	0.831630642860167	0.816943896507607	0.955639536121587	0.969454208276912	0.574153017664006	1.05775546796747	1.18471935325159	0.858807723276129	0.978437131161566	0.913359673557501	1.27965828424236	0.779943821863817	1.02252256334125	0.897289956044348	1.23537151587923	0.99373267905212	0.777029821784048	0.865993165641882	0.989877109599894	1.14153277658963	1.13347019685285	1.10151464228628	0.836670148986719	0.93654259976841	0.991015190223164	0.934643653671128
"Eiríks"	1.22123857547952	0.892038752412455	0.964356828347532	0.999496998736462	1.01109487413411	0.904016071592467	0	0.866469164785605	1.01805921602762	0.985178682298512	0.907649404095217	0.891117250975545	0.991878606744241	1.00555018126582	1.17579952285018	1.02809090226981	0.822371175101378	0.981953558078439	1.14926875385194	1.02524752247172	1.19106515826932	1.06432036155996	1.00889675389001	0.87033321917586	1.03745839805611	1.01808042731885	1.00187125164306	1.15037688411868	1.27984004628104	1.06850666749495	1.01188612397156	0.994647985886927	1.26009223611836	0.897356637362837	1.09954889752778	1.01091644144013	1.36787877158253	1.09428026619344	0.884735557639168	0.980126951683437	1.09976237361784	1.11974695823822	1.13367874394322	1.20623252166741	0.932896287165937	1.02429906117978	1.06291632473428	1.0070103799264
"Eyrbyggja"	1.1183634992581	0.793651540517028	0.80300264168889	0.780564848267864	0.895384363740319	0.665506604225998	0.866469164785605	0	0.833394317015101	0.844292091123322	0.755984345078099	0.786854562944189	0.827713125930202	0.891057294367611	1.11451276406118	0.984430913074872	0.631998672849911	0.784049036616196	1.01015396319459	0.917269572541479	1.09520416465807	0.952873687320103	0.838328033485408	0.727947338913957	0.849770903925248	0.955992307698168	0.800359386719527	0.977690345972516	1.19625082040336	0.880118762038029	0.910892757764198	0.929255445085025	1.21466125814743	0.723241047051973	1.01186654276158	0.859263998909461	1.21093529595112	0.937337892914192	0.643554610823003	0.829488435222288	0.913335530148824	1.07972708938437	1.06085312235408	1.05006194214218	0.740872745837581	0.851614989526052	0.953166949462887	0.81026250641259
"Finnboga"	0.986141838635933	0.865152711701622	0.793553210018967	0.765489477110205	1.06207000935641	0.903749196488187	1.01805921602762	0.833394317015101	0	0.775776249859772	0.750882925766798	0.796965928986429	0.785119760107277	0.816411568363746	1.12345339363724	1.12756446452578	0.693893339521593	1.05026683346012	0.983877500602737	0.915222315141979	0.981316510713346	0.939929817054863	0.849423174849642	0.759353106756721	0.697369372692503	0.932562635481858	1.00619291141522	0.939945428286908	1.16226974430945	0.902939142093841	0.883810584127877	0.861011314849725	1.47089654482692	0.702182624492579	0.969766943136973	0.798987632477422	1.23020005213233	0.9407923477107	0.931634348459541	0.820303009945354	0.818259711580493	1.12896292198186	1.0297934001798	1.00905455900487	0.691775460584569	0.812881627407297	0.889002429037749	0.866243467790536
"Fljótsdæla"	0.93242860009836	0.877813305446897	0.846469347010175	0.778814215838959	1.0211776597918	0.913894360667847	0.985178682298512	0.844292091123322	0.775776249859772	0	0.81538459556467	0.706517290303867	0.655532692399303	0.665645579374435	1.16980718121441	1.11321785212886	0.731386381487737	1.08842758614988	1.04594062675127	0.992283186350922	0.856824727021849	0.944025113808799	0.886674025157909	0.792522710989087	0.739307101348791	0.843624715053364	1.06059822821469	0.736543826222848	1.12761511452713	0.927454209571804	0.936618714021042	0.823990429445037	1.41154938644794	0.736723361908094	0.94147184313731	0.790433271473356	1.2306895492312	0.975955373352095	0.998534385732076	0.73803930628378	0.89732254423967	1.18540128824071	1.01969852344831	0.9504754899335	0.746869744057155	0.803061215536445	0.977703089756065	0.839877345340964
